OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
3369,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3369,Caltex Gladesville,Operational,Caltex,,287-289 Victoria Road,Gladesville,New South Wales,5,20110725,,-33.8285279999999,151.126876
3370,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3370,Caltex Longueville,Operational,Caltex,,5-7 Northwood Road,Longueville,New South Wales,5,20110725,,-33.824288,151.172478
3371,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3371,Caltex Woolworths South Wentworthville,Operational,Caltex,,313 Great Western Highway,South Wentworthville,New South Wales,5,20110725,,-33.816435,150.971884
3372,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3372,Caltex Woolworths Lane Cove,Operational,Caltex,,235 Burns Bay Road,Lane Cove West,New South Wales,5,20110725,,-33.8163499999999,151.151412
3373,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3373,Caltex Rydalmere,Operational,Caltex,,305-309 Victoria Road,Rydalmere,New South Wales,5,20110725,,-33.811956,151.037115
3374,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3374,Caltex Pendle Hill,Operational,Caltex,,602-606 Great Western Highway,Girraween,New South Wales,5,20110725,,-33.808285,150.942155
3375,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3375,Caltex Woolworths Chatswood,Operational,Caltex,,572 Pacific Highway,Chatswood,New South Wales,5,20110725,,-33.8038119999999,151.178967
3376,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3376,Caltex Eastern Creek,Operational,Caltex,,M4 Western Motorway West Bound,Eastern Creek,New South Wales,5,20110725,,-33.802433,150.882701
3377,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3377,Caltex Eastern Creek,Operational,Caltex,,M4 Western Motorway East Bound,Eastern Creek,New South Wales,5,20110725,,-33.80155,150.886142
3378,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3378,Caltex Ryde,Operational,Caltex,,110 Lane Cove Road,Ryde,New South Wales,5,20110725,,-33.801463,151.113762
3379,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3379,Woolworths Caltex Prospect,Operational,Caltex,,362-374 Flushcombe Road,Prospect,New South Wales,5,20110725,,-33.7963589999999,150.90464
3380,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3380,Caltex Manly,Operational,Caltex,,92 Pittwater Road,Manly,New South Wales,5,20110725,,-33.793089,151.285906
3381,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3381,Caltex Woolworths North Ryde,Operational,Caltex,,41-43 Epping Road,Macquarie Park,New South Wales,5,20110725,,-33.791393,151.131226
3382,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3382,Woolworths Caltex Glenmore Park,Operational,Caltex,,Lot 9105 Glenmore Parkway,Glenmore Park,New South Wales,5,20110725,,-33.7887469999999,150.667821
3383,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3383,Caltex Woolworths Northmead,Operational,Caltex,,98-100 Windsor Road,Northmead,New South Wales,5,20110725,,-33.7878709999999,150.994586
3384,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3384,Caltex Woolworths Carlingford,Operational,Caltex,,129-131 Pennant Hills Road,Carlingford,New South Wales,5,20110725,,-33.787612,151.027945
3385,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3385,Woolworths Caltex Chatswood East,Operational,Caltex,,362-366 Eastern Valley Way,Chatswood,New South Wales,5,20110725,,-33.7866739999999,151.201065
3386,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3386,Caltex Manly Vale,Operational,Caltex,,236-238 Condamine Street,Manly Vale,New South Wales,5,20110725,,-33.785084,151.267434
3387,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3387,Woolworths Caltex Marsfield,Operational,Caltex,,155 Balaclava Road,Marsfield,New South Wales,5,20110725,,-33.778405,151.107384
3388,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3388,Caltex Roseville,Operational,Caltex,,20-22 Babbage Road,Roseville,New South Wales,5,20110725,,-33.778026,151.19458
3389,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3389,Woolworths Caltex Seven Hills,Operational,Caltex,,1 Federal Road,Seven Hills,New South Wales,5,20110725,,-33.776258,150.933268
3390,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3390,Caltex Carlingford,Operational,Caltex,,797 Pennant Hills Road,Carlingford,New South Wales,5,20110725,,-33.7757379999999,151.051652
3391,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3391,Caltex Seven Hills,Operational,Caltex,,105-107 Station Road,Seven Hills,New South Wales,5,20110725,,-33.774352,150.944786
3392,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3392,Woolworths Caltex Seven Hills,Operational,Caltex,,155 Prospect Highway,Seven Hills,New South Wales,3,20110725,Confirmed on Caltex Website,-33.7692969999999,150.94249
3393,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3393,Woolworths Caltex Mount Druitt,Operational,Caltex,,49 North Parade,Mount Druitt,New South Wales,5,20110725,,-33.7686909999999,150.818683
3394,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3394,Caltex Blacktown,Operational,Caltex,,143-145 Kildare Road,Blacktown,New South Wales,5,20110725,,-33.768383,150.891514
3395,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3395,Woolworths Caltex Werrington,Operational,Caltex,,574 Great Western Highway,Claremont Meadows,New South Wales,5,20110725,,-33.7683469999999,150.756648
3396,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3396,Caltex Woolworths Seven Hills,Operational,Caltex,,38A Abbott Road,Seven Hills,New South Wales,5,20110725,,-33.766916,150.954857
3397,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3397,Caltex Glenbrook,Operational,Caltex,,78 Great Western Highway,Glenbrook,New South Wales,5,20110725,,-33.76543,150.621538
3398,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3398,Woolworths Caltex Blacktown,Operational,Caltex,,37-39 Third Avenue,Blacktown,New South Wales,5,20110725,,-33.764699,150.90878
3399,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3399,Woolworths Caltex Brookvale,Operational,Caltex,,754-756 Pittwater Road,Brookvale,New South Wales,5,20110725,,-33.7616619999999,151.276245
3400,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3400,Caltex Brookvale,Operational,Caltex,,740 Pittwater Road,Brookvale,New South Wales,5,20110725,,-33.7614619999999,151.274494
3401,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3401,Caltex Woolworths Baulkham Hills,Operational,Caltex,,119-121 Seven Hills Road,Baulkham Hills,New South Wales,5,20110725,,-33.761408,150.975146
3402,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3402,Woolworths Caltex St Marys,Operational,Caltex,,120-128 Forrester Road,St Marys,New South Wales,5,20110725,,-33.7552489999999,150.775297
3403,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3403,Woolworths Caltex Kingswood,Operational,Caltex,,66 Parker Street,Kingswood,New South Wales,5,20110725,,-33.75499,150.713024
3404,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3404,Caltex Woolworths Beacon Hill,Operational,Caltex,,176 Warringah Road,Beacon Hill,New South Wales,5,20110725,,-33.753817,151.26027
3405,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3405,Woolworths Caltex Emu Plains,Operational,Caltex,,285 Great Western Highway,Emu Plains,New South Wales,5,20110725,,-33.7537149999999,150.653028
3406,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3406,Caltex St Marys,Operational,Caltex,,38 Power Street,St Marys,New South Wales,5,20110725,,-33.75334,150.775544
3407,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3407,Woolworths Caltex Penrith,Operational,Caltex,,588 High Street,Penrith,New South Wales,5,20110725,,-33.752564,150.691186
3408,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3408,Caltex Werrington,Operational,Caltex,,49 Dunheved Road,Werrington County,New South Wales,5,20110725,,-33.74578,150.741
3409,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3409,Caltex Woolworths Dee Why,Operational,Caltex,,793-801 Pittwater Road,Dee Why,New South Wales,5,20110725,,-33.7456749999999,151.292092
3410,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3410,Woolworths Caltex Marayong,Operational,Caltex,,370 Vardys Road,Kings Park,New South Wales,5,20110725,,-33.74526,150.904193
3411,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3411,Woolworths Caltex Plumpton,Operational,Caltex,,266 Jersey Road,Plumpton,New South Wales,5,20110725,,-33.744765,150.836881
3412,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3412,Woolworths Caltex Emu Heights,Operational,Caltex,,132 Old Bathurst Road,Emu Plains,New South Wales,5,20110725,,-33.7429809999999,150.655955
3413,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3413,Caltex Cambridge Park,Operational,Caltex,,Lot 6 Star Court,Cambridge Gardens,New South Wales,5,20110725,,-33.740695,150.717165
3414,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3414,Woolworths Caltex Belrose,Operational,Caltex,,60 Glen Street,Belrose,New South Wales,5,20110725,,-33.7400919999999,151.20912
3415,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3415,Caltex Woolworths Belrose,Operational,Caltex,,157 Forest Way,Belrose,New South Wales,5,20110725,,-33.734766,151.221179
3416,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3416,Caltex Penrith,Operational,Caltex,,12 Lugard Street,Penrith,New South Wales,5,20110725,,-33.734273,150.693339
3417,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3417,Woolworths Caltex Turramurra,Operational,Caltex,,1233-1243 Pacific Highway,Turramurra,New South Wales,5,20110725,,-33.733189,151.13132
3418,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3418,Caltex Quakers Hill,Operational,Caltex,,450 Quakers Hill Parkway,Quakers Hill,New South Wales,5,20110725,,-33.730086,150.902418
3419,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3419,Caltex Woolworths Thornleigh,Operational,Caltex,,192 Pennant Hills Road,Thornleigh,New South Wales,5,20110725,,-33.7266079999999,151.083641
3420,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3420,Caltex Woolworths Parklea,Operational,Caltex,,1190 Old Windsor Road,Glenwood,New South Wales,5,20110725,,-33.724308,150.938796
3421,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3421,Caltex Woolworths Cherrybrook,Operational,Caltex,,67 Shepherds Drive,Cherrybrook,New South Wales,5,20110725,,-33.7206449999999,151.045125
3422,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3422,Caltex St Ives North,Operational,Caltex,,363 Mona Vale Road,St Ives,New South Wales,5,20110725,,-33.716877,151.173659
3423,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3423,Caltex Woolworths Kellyville,Operational,Caltex,,3-5 Windsor Road,Kellyville,New South Wales,5,20110725,,-33.714367,150.960198
3424,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3424,Caltex St Ives,Operational,Caltex,,164 Warrimoo Avenue,St Ives Chase,New South Wales,5,20110725,,-33.710951,151.159891
3425,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3425,Caltex Woolworths Waitara,Operational,Caltex,,59 Pacific Highway,Waitara,New South Wales,5,20110725,,-33.710659,151.102449
3426,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3426,Woolworths Caltex North Narrabeen,Operational,Caltex,,1412-1414 Pittwater Road,North Narrabeen,New South Wales,5,20110725,,-33.700906,151.299804
3427,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3427,Woolworths Caltex Kellyville,Operational,Caltex,,662 Windsor Road,Kellyville Ridge,New South Wales,5,20110725,,-33.699538,150.927944
3428,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3428,Caltex Marsden Park,Operational,Caltex,,365-367 Garfield Road West,Marsden Park,New South Wales,5,20110725,,-33.697378,150.833445
3429,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3429,Woolworths Caltex Round Corner Dural,Operational,Caltex,,532 Old Northern Road,Dural,New South Wales,5,20110725,,-33.693484,151.020271
3430,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3430,Caltex Woolworths Dural,Operational,Caltex,,917-923 Old Northern Road,Dural,New South Wales,5,20110725,,-33.682981,151.028444
3431,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3431,Caltex Winmalee,Operational,Caltex,,281 Hawkesbury Road,Winmalee,New South Wales,5,20110725,,-33.6823229999999,150.599535
3432,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3432,Caltex Hornsby Heights,Operational,Caltex,,108A Galston Road,Hornsby Heights,New South Wales,5,20110725,,-33.676687,151.098314
3433,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3433,Caltex Riverstone,Operational,Caltex,,125 Garfield Road East,Riverstone,New South Wales,5,20110725,,-33.6763119999999,150.86681
3434,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3434,Caltex Mount Colah,Operational,Caltex,,2 Parklands Road,Mount Colah,New South Wales,5,20110725,,-33.670419,151.115296
3435,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3435,Caltex Castlereagh,Operational,Caltex,,1141 Castlereagh Road,Castlereagh,New South Wales,5,20110725,,-33.669316,150.677321
3436,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3436,Woolworths Caltex Berkshire Park,Operational,United,,770 Richmond Road,Berkshire Park,New South Wales,5,20110725,,-33.666568,150.801092
3437,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3437,Caltex Kenthurst,Operational,Caltex,,2 Nelson Street,Kenthurst,New South Wales,5,20110725,,-33.66084,151.005398
3438,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3438,Woolworths Caltex Vineyard,Operational,Caltex,,200 Windsor Road,Riverstone,New South Wales,5,20110725,,-33.6560529999999,150.872514
3439,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3439,Woolworths Caltex Newport,Operational,Caltex,,340-348 Barrenjoey Road,Newport,New South Wales,5,20110725,,-33.6555959999999,151.320268
3440,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3440,Caltex Londonderry,Operational,Caltex,,519-521 Carrington Road,Londonderry,New South Wales,5,20110725,,-33.645345,150.73637
3441,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3441,Caltex Berowra,Operational,Caltex,,12-14 Berowra Waters Road,Berowra,New South Wales,5,20110725,,-33.6232479999999,151.150578
3442,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3442,Port Broughton Roadhouse,Operational,Independent Fuel Supplies,,6 Bay Street,Port Broughton,South Australia,5,20110725,,-33.600692786,137.933080167
3443,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3443,Woolworths Caltex Richmond,Operational,Caltex,,34-42 East Market Street,Richmond,New South Wales,5,20110725,,-33.6005549999999,150.751326
3444,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3444,Caltex Richmond,Operational,Caltex,,98-100 March Street,Richmond,New South Wales,5,20110725,,-33.599371,150.751476
3445,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3445,Caltex North Richmond,Operational,Caltex,,50 Bells Line Of Road,North Richmond,New South Wales,5,20110725,,-33.579968,150.720191
3446,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3446,Caltex Wilberforce,Operational,Caltex,,535 Wilberforce Road,Wilberforce,New South Wales,5,20110725,,-33.5631129999999,150.838179
3447,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3447,Caltex Canowindra,Operational,Independent Fuel Supplies,,41 Belmore Street,Canowindra,New South Wales,5,20110725,,-33.5620939999999,148.665801
3448,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3448,Redhill,Operational,Caltex,,286 Ellis Street,Redhill,South Australia,5,20110725,,-33.538037,138.216296
3449,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3449,Woolworths Caltex Umina,Operational,Caltex,,440 Ocean Beach Road,Umina Beach,New South Wales,5,20110725,,-33.52095,151.317087
3450,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3450,Caltex Woy Woy,Operational,Caltex,,64-68 Memorial Avenue,Blackwall,New South Wales,5,20110725,,-33.507058,151.331657
3451,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3451,Ampol Spalding Roadhouse,Operational,Ampol,,1 Main Street,Spalding,South Australia,5,20110725,,-33.500845,138.606268
3452,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3452,Woolworths Caltex Bathurst,Operational,Caltex,,70-74 Bentinck Street,Bathurst,New South Wales,5,20110725,,-33.4203939999999,149.581671
3453,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3453,Caltex Kelso,Operational,Caltex,,19 Sydney Road,Kelso,New South Wales,5,20110725,,-33.4190399999999,149.602391
3454,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3454,Caltex Bathurst,Operational,Caltex,,53 Durham Street,Bathurst,New South Wales,5,20110725,,-33.416917,149.584841
3455,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3455,Ampol Forbes,Operational,Independent Fuel Supplies,,11-13 Rankin Street,Forbes,New South Wales,5,20110725,,-33.3823229999999,148.010841
3456,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3456,Caltex Forbes,Operational,Caltex,,Lot 692 Wyndham Avenue,Forbes,New South Wales,5,20110725,,-33.363335,148.02242
3457,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3457,Caltex Gladstone,Operational,Caltex,,Main North Road and Gladstone Pirie Road,Gladstone,South Australia,5,20110725,,-33.2644779999999,138.346117
3458,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3458,Caltex Jamestown,Operational,Caltex,,6 Vohr Street,Jamestown,South Australia,5,20110725,,-33.2031069999999,138.603339
3459,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3459,Caltex Port Pirie,Operational,Caltex,,116-118 Main Road,Solomontown,South Australia,5,20110725,,-33.184816,138.020757
3460,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3460,Woolworths Caltex Port Pirie,Operational,Caltex,,137 Florence Street,Port Pirie,South Australia,5,20110725,,-33.1805919999999,138.010568
3461,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3461,Wudinna Granite Country Roadhouse,Operational,Caltex,,66 Eyre Highway,Wudinna,South Australia,5,20110725,,-33.0540579999999,135.465213
3462,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3462,Independent Wirrabara,Operational,Independent Fuel Supplies,,Main North Road and Second Street,Wirrabara,South Australia,5,20110725,,-33.033789,138.269591
3463,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3463,Caltex Peterborough,Operational,Caltex,,92 Main Street,Peterborough,South Australia,5,20110725,,-32.9732349999999,138.840832
3464,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3464,Ampol Booleroo Centre,Operational,Ampol,,34 Arthur Street,Booleroo Centre,South Australia,5,20110725,,-32.880889,138.349044
3465,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3465,Ampol Wilmington,Operational,Ampol,,Lot 639 Main North Road,Wilmington,South Australia,5,20110725,,-32.6557349999999,138.101723
3466,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3466,Caltex Port Augusta,Operational,Caltex,,63 Victoria Parade,Port Augusta,South Australia,5,20110725,,-32.500019,137.778774
3467,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3467,Woolworths Caltex Port Augusta,Operational,Caltex,,25 Tassie Street,Port Augusta,South Australia,5,20110725,,-32.489362,137.762842
3468,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3468,Caltex Bulahdelah,Operational,Caltex,,45 Booloombayt Street,Bulahdelah,New South Wales,5,20110725,,-32.4073299999999,152.210872
3469,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3469,Independent Bungwahl,Operational,Caltex,,2600 The Lakes Way,Bungwahl,New South Wales,5,20110725,,-32.3871779999999,152.44446
3470,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3470,Caltex Coomba Park,Operational,Caltex,,11 Kirribilli Avenue,Coomba Park,New South Wales,5,20110725,,-32.236479,152.474066
3471,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3471,Caltex Coolongolook,Operational,Caltex,,34 Bengal Street,Coolongolook,New South Wales,5,20110725,,-32.216473,152.322816
3472,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3472,Caltex Norseman,Operational,Caltex,,1 Prinsep Street,Norseman,Western Australia,5,20110725,,-32.189703,121.778364
3473,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3473,Independent Ceduna,Operational,Caltex,,19 McKenzie Street,Ceduna,South Australia,5,20110725,,-32.125323,133.676177
3474,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3474,South Lake,Operational,United,,49 Berrigan Drive,South Lake,Western Australia,5,20110725,,-32.1113769999999,115.838879
3475,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3475,Caltex Nabiac,Operational,Caltex,,3964 Wallanbah Road,Nabiac,New South Wales,5,20110725,,-32.0987269999999,152.375358
3476,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3476,Caltex Macksville,Operational,Caltex,,22 Cooper Street,Macksville,New South Wales,5,20110725,,-30.709782,152.919809
3477,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3477,Woolworths Caltex Nambucca Heads,Operational,Caltex,,115 Mann Street,Nambucca Heads,New South Wales,5,20110725,,-30.6394069999999,152.988653
3478,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3478,Caltex Armidale,Operational,Caltex,,Lot 19 New England Highway,Armidale,New South Wales,5,20110725,,-30.5320879999999,151.615869
3479,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3479,Caltex Woolworths Armidale,Operational,Caltex,,144 Marsh Street,Armidale,New South Wales,5,20110725,,-30.517098,151.667587
3480,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3480,Caltex Armidale,Operational,Caltex,,6-8 Queen Elizabeth Drive,Armidale,New South Wales,5,20110725,,-30.503459,151.651062
3481,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3481,Caltex Armidale,Operational,Caltex,,2 Marsh Street,Armidale,New South Wales,5,20110725,,-30.5032419999999,151.67267
3482,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3482,Independent Thora,Operational,Caltex,,2656 Waterfall Way,Thora,New South Wales,5,20110725,,-30.425058,152.77876
3483,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3483,Caltex Toormina,Operational,Caltex,,2 Minorca Place,Toormina,New South Wales,5,20110725,,-30.3523539999999,153.090663
3484,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3484,Woolworths Caltex Coffs Harbour,Operational,Caltex,,253 Pacific Highway,Coffs Harbour,New South Wales,5,20110725,,-30.2809369999999,153.132033
3485,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3485,Evans Head,Operational,Matilda Fuels,,70 Woodburn Street,Evans Head,New South Wales,5,20110725,,-29.1141499999999,153.428243
3486,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3486,Caltex Truckstop,Operational,Caltex,,227 Boundary Road,Goondiwindi,Queensland,5,20110725,,-28.5283995359999,150.311130469
3487,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3487,Independent Tyalgum,Operational,Independent Fuel Supplies,,6 Coolman Street,Tyalgum,New South Wales,5,20110725,,-28.356598,153.208221
3488,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3488,Caltex Murwillumbah,Operational,Caltex,,1-7 Buchanan Street,Murwillumbah South,New South Wales,5,20110725,,-28.3268649999999,153.409315
3489,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3489,Caltex Murwillumbah,Operational,Caltex,,89 Ewing Street,Murwillumbah,New South Wales,5,20110725,,-28.3240749999999,153.395182
3490,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3490,Ampol Condong,Operational,Ampol,,51 Tweed Valley Way,Murwillumbah South,New South Wales,5,20110725,,-28.319058,153.429614
3491,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3491,Caltex Woolworths Elanora,Operational,Caltex,,196 K P McGrath Drive,Elanora,Queensland,5,20110725,,-28.1227069999999,153.461578
3492,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3492,Caltex West Burleigh,Operational,Independent Fuel Supplies,,Lot 2 Tsipura Drive,Gold Coast,Queensland,5,20110725,,-28.1102089999999,153.440839
3493,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3493,Caltex Reedy Creek South,Operational,Caltex,,Pacific Highway,Reedy Creek,Queensland,5,20110725,,-28.105104,153.406504
3494,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3494,Caltex Woolworths Burleigh Waters,Operational,Caltex,,24 Executive Drive,Burleigh Waters,Queensland,5,20110725,,-28.0980029999999,153.425812
3495,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3495,Caltex Reedy Creek,Operational,Caltex,,Pacific Highway,Mudgeeraba,Queensland,5,20110725,,-28.0933659999999,153.391247
3496,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3496,Caltex Burleigh Heads,Operational,Caltex,,1827 Gold Coast Highway,Burleigh Heads,Queensland,5,20110725,,-28.089978,153.453186
3497,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3497,Caltex Woolworths Mudgeeraba,Operational,Caltex,,24 Railway Road,Mudgeeraba,Queensland,5,20110725,,-28.074513,153.364042
