OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
241,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,241,Caltex Woolworths Mosman Park,Operational,Caltex,,676-680 Stirling Highway,Mosman Park,Western Australia,5,20110725,,-32.0120219999999,115.755629
242,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,242,Caltex Bentley,Operational,Caltex,,46 Wyong Road,Bentley,Western Australia,5,20110725,,-32.01217,115.914205
243,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,243,Woolworths Caltex Cannington,Operational,Caltex,,1344 Albany Highway,Cannington,Western Australia,5,20110725,,-32.017526,115.934931
244,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,244,Woolworths Caltex Beckenham,Operational,Caltex,,63 William Street,Beckenham,Western Australia,5,20110725,,-32.0221129999999,115.954792
245,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,245,Caltex Woolworths Melville,Operational,Caltex,,587-589 Canning Highway,Alfred Cove,Western Australia,5,20110725,,-32.031329,115.815272
246,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,246,Caltex Maddington,Operational,Caltex,,Kelvin Road and Orchard Road,Maddington,Western Australia,5,20110725,,-32.0350099999999,115.999172
247,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,247,Caltex Woolworths Riverton,Operational,Caltex,,268 High Road,Riverton,Western Australia,5,20110725,,-32.038394,115.896712
248,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,248,Caltex Fremantle East,Operational,Caltex,,180 Canning Highway,East Fremantle,Western Australia,5,20110725,,-32.0406609999999,115.766357
249,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,249,Woolworths Caltex Maddington,Operational,Caltex,,76-78 Attfield Street,Maddington,Western Australia,5,20110725,,-32.0531619999999,115.980652
250,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,250,Caltex Woolworths O'Connor,Operational,Caltex,,308 Streetock Road,O'Connor,Western Australia,5,20110725,,-32.0553449999999,115.7932
251,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,251,Caltex Thornlie,Operational,Caltex,,316 Spencer Road,Thornlie,Western Australia,5,20110725,,-32.055854,115.961982
252,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,252,Caltex Thornlie,Operational,Caltex,,219 Yale Road,Thornlie,Western Australia,5,20110725,,-32.061096,115.939099
253,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,253,Caltex Canning Vale,Operational,Caltex,,60-62 Bannister Road,Canning Vale,Western Australia,5,20110725,,-32.0632869999999,115.92634
254,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,254,Caltex Woolworths Murdoch,Operational,Caltex,,South Street and Robson Way,Murdoch,Western Australia,5,20110725,,-32.063396,115.835686
255,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,255,Caltex Gosnells North,Operational,Caltex,,5 Mills Road West,Gosnells,Western Australia,5,20110725,,-32.064115,115.999561
256,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,256,Woolworths Caltex Canning Vale,Operational,Caltex,,Nicholson Road and Sarah Close,Canning Vale,Western Australia,5,20110725,,-32.072953,115.925586
257,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,257,Woolworths Caltex Fremantle,Operational,Caltex,,199 Hampton Road,South Fremantle,Western Australia,5,20110725,,-32.073752,115.758978
258,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,258,Caltex Gosnells,Operational,Caltex,,2347 Albany Highway,Gosnells,Western Australia,5,20110725,,-32.075862,116.00631
259,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,259,Caltex Canning Vale,Operational,Caltex,,Ranford Road and Wilfred Road,Canning Vale,Western Australia,5,20110725,,-32.082218,115.908929
260,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,260,Woolworths Caltex Southern River,Operational,Caltex,,Warton Road and Furley Road,Southern River,Western Australia,5,20110725,,-32.0964339999999,115.935896
261,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,261,Caltex South Lake,Operational,Caltex,,2 Omeo Street,South Lake,Western Australia,5,20110725,,-32.108301,115.829179
262,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,262,Caltex Woolworths Kelmscott,Operational,Caltex,,2877 Albany Highway,Kelmscott,Western Australia,5,20110725,,-32.116096,116.015409
263,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,263,Caltex Seville Grove,Operational,Caltex,,537 Lake Road,Seville Grove,Western Australia,5,20110725,,-32.13688,115.980362
264,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,264,Woolworths Caltex Wellington,Operational,7-Eleven Pty Ltd,,79 Lee Street,Wellington,New South Wales,5,20120713,,-32.548735,148.940822
265,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,265,Caltex Berri,Operational,Caltex,,Lot 1 Old Sturt Highway,Berri,South Australia,5,20110725,,-34.2719109999999,140.607858
266,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,266,Independent Taralga,Operational,Independent Fuel Supplies,,21 Orchard Street,Taralga,New South Wales,5,20110725,,-34.4054379999999,149.818998
267,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,267,Independent Crookwell,Operational,Independent Fuel Supplies,,24 Goulburn Street,Crookwell,New South Wales,5,20110725,,-34.456107,149.468353
268,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,268,Caltex Murray Bridge,Operational,Caltex,,8 Princes Highway,Murray Bridge East,South Australia,5,20110725,,-35.111957,139.286234
269,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,269,Woolworths Caltex Murray Bridge,Operational,Caltex,,1 Swanport Road,Murray Bridge,South Australia,5,20110725,,-35.1204529999999,139.273682
